category,common_name,measures,scientific_name
Marine Reptiles and Mammals,Marine Otter,Sub-national level,Lontra felina
Marine Reptiles and Mammals,Marine Otter,National level,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Species recovery,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Compliance and enforcement,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Legislation,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Site/area management,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Formal education,Lontra felina
Marine Reptiles and Mammals,Marine Otter,Resource & habitat protection,Lontra felina
Marine Reptiles and Mammals,Minke Whale,Species management,Balaenoptera acutorostrata
Marine Reptiles and Mammals,Minke Whale,Harvest management,Balaenoptera acutorostrata
Marine Reptiles and Mammals,Orca,Species management,Orcinus orca
Marine Reptiles and Mammals,Orca,Site/area management,Orcinus orca
Marine Reptiles and Mammals,Orca,Harvest management,Orcinus orca
Marine Reptiles and Mammals,Pantropical Spotted Dolphin,Species management,Stenella attenuata
Marine Reptiles and Mammals,Pantropical Spotted Dolphin,Harvest management,Stenella attenuata
Marine Reptiles and Mammals,Polar Bear,Awareness & communications,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Training,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Site/area protection,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Harvest management,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,National level,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,International level,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Trade management,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Species recovery,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Sub-national level,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Scale unspecified,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Compliance and enforcement,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Legislation,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Species management,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Site/area management,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Formal education,Ursus maritimus
Marine Reptiles and Mammals,Polar Bear,Resource & habitat protection,Ursus maritimus
Marine Reptiles and Mammals,Ringed Seal,Site/area protection,Pusa hispida
Marine Reptiles and Mammals,Ringed Seal,Harvest management,Pusa hispida
Marine Reptiles and Mammals,Ringed Seal,Species management,Pusa hispida
Marine Reptiles and Mammals,Ringed Seal,Site/area management,Pusa hispida
Marine Reptiles and Mammals,Ringed Seal,Resource & habitat protection,Pusa hispida
Marine Reptiles and Mammals,Rissos Dolphin,Species management,Grampus griseus
Marine Reptiles and Mammals,Rissos Dolphin,Harvest management,Grampus griseus
Marine Reptiles and Mammals,Sea Otter,Site/area management,Enhydra lutris
Marine Reptiles and Mammals,Sea Otter,Habitat & natural process restoration,Enhydra lutris
Marine Reptiles and Mammals,Sea Otter,Species recovery,Enhydra lutris
Marine Reptiles and Mammals,Short-beaked Common Dolphin,Awareness & communications,Delphinus delphis
Marine Reptiles and Mammals,Short-beaked Common Dolphin,Site/area protection,Delphinus delphis
Marine Reptiles and Mammals,Short-beaked Common Dolphin,National level,Delphinus delphis
Marine Reptiles and Mammals,Short-beaked Common Dolphin,International level,Delphinus delphis
Marine Reptiles and Mammals,Short-beaked Common Dolphin,Compliance and enforcement,Delphinus delphis
Marine Reptiles and Mammals,Southern Elephant Seal,Site/area management,Mirounga leonina
Marine Reptiles and Mammals,Steller Sea Lion,Awareness & communications,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Site/area protection,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,National level,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Species recovery,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Compliance and enforcement,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Policies and regulations,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Legislation,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Site/area management,Eumetopias jubatus
Marine Reptiles and Mammals,Steller Sea Lion,Resource & habitat protection,Eumetopias jubatus
Marine Reptiles and Mammals,Vaquita,Awareness & communications,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Training,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Linked enterprises & livelihood alternatives,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Site/area protection,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Harvest management,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,National level,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Species recovery,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Compliance and enforcement,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Species management,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Site/area management,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Formal education,Phocoena sinus
Marine Reptiles and Mammals,Vaquita,Resource & habitat protection,Phocoena sinus
Marine Reptiles and Mammals,Walrus,Awareness & communications,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Site/area protection,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Harvest management,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,National level,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Trade management,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Compliance and enforcement,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Species management,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Site/area management,Odobenus rosmarus
Marine Reptiles and Mammals,Walrus,Resource & habitat protection,Odobenus rosmarus
Marine Reptiles and Mammals,Leatherback Turtle,Awareness & communications,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Site/area protection,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Harvest management,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,National level,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,International level,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Compliance and enforcement,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Sub-national level,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Species management,Dermochelys coriacea
Marine Reptiles and Mammals,Leatherback Turtle,Site/area management,Dermochelys coriacea
Sea Birds,Adelie Penguin,International level,Pygoscelis adeliae
Sea Birds,Adelie Penguin,Legislation,Pygoscelis adeliae
Sea Birds,Arctic Tern,Invasive/problematic species control,Sterna paradisaea
Sea Birds,Atlantic Puffin,Awareness & communications,Fratercula arctica
Sea Birds,Atlantic Puffin,Site/area protection,Fratercula arctica
Sea Birds,Atlantic Puffin,Compliance and enforcement,Fratercula arctica
Sea Birds,Atlantic Puffin,Scale unspecified,Fratercula arctica
Sea Birds,Atlantic Puffin,Invasive/problematic species control,Fratercula arctica
Sea Birds,Atlantic Puffin,Policies and regulations,Fratercula arctica
Sea Birds,Atlantic Puffin,Site/area management,Fratercula arctica
Sea Birds,Atlantic Puffin,Resource & habitat protection,Fratercula arctica
Sea Birds,Emperor Penguin,International level,Aptenodytes forsteri
Sea Birds,Emperor Penguin,Legislation,Aptenodytes forsteri
Sea Birds,Galapagos Penguin,Awareness & communications,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Training,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Site/area protection,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,National level,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,International level,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Species recovery,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Compliance and enforcement,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Invasive/problematic species control,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Legislation,Spheniscus mendiculus
Sea Birds,Galapagos Penguin,Site/area management,Spheniscus mendiculus
Sea Birds,Gentoo Penguin,Site/area protection,Pygoscelis papua
Sea Birds,Humboldt Penguin,Awareness & communications,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Site/area protection,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Harvest management,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Invasive/problematic species control,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Policies and regulations,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Species management,Spheniscus humboldti
Sea Birds,Humboldt Penguin,Site/area management,Spheniscus humboldti
Sea Birds,Jackass Penguin,Awareness & communications,Spheniscus demersus
Sea Birds,Jackass Penguin,Site/area protection,Spheniscus demersus
Sea Birds,Jackass Penguin,Species re-introduction,Spheniscus demersus
Sea Birds,Jackass Penguin,National level,Spheniscus demersus
Sea Birds,Jackass Penguin,International level,Spheniscus demersus
Sea Birds,Jackass Penguin,Species recovery,Spheniscus demersus
Sea Birds,Jackass Penguin,Compliance and enforcement,Spheniscus demersus
Sea Birds,Jackass Penguin,Invasive/problematic species control,Spheniscus demersus
Sea Birds,Jackass Penguin,Legislation,Spheniscus demersus
Sea Birds,Jackass Penguin,Reintroduction,Spheniscus demersus
Sea Birds,Jackass Penguin,Site/area management,Spheniscus demersus
Sea Birds,Jackass Penguin,Resource & habitat protection,Spheniscus demersus
Sea Birds,Laysan Albatross,Awareness & communications,Phoebastria immutabilis
Sea Birds,Laysan Albatross,Site/area management,Phoebastria immutabilis
Sea Birds,Laysan Albatross,International level,Phoebastria immutabilis
Sea Birds,Laysan Albatross,Legislation,Phoebastria immutabilis
Sea Birds,Little Auk,Site/area protection,Alle alle
Sea Birds,Little Auk,National level,Alle alle
Sea Birds,Little Auk,International level,Alle alle
Sea Birds,Little Auk,Scale unspecified,Alle alle
Sea Birds,Little Auk,Legislation,Alle alle
Sea Birds,Little Auk,Site/area management,Alle alle
Sea Birds,Royal Penguin,Resource & habitat protection,Eudyptes schlegeli
Sea Birds,Southern Giant Petrel,Site/area management,Macronectes giganteus
Sea Birds,Southern Giant Petrel,International level,Macronectes giganteus
Sea Birds,Southern Giant Petrel,Legislation,Macronectes giganteus
Sea Birds,Southern Rockhopper Penguin,Training,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Site/area protection,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Private sector standards & codes,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,International level,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Invasive/problematic species control,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Policies and regulations,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Legislation,Eudyptes chrysocome
Sea Birds,Southern Rockhopper Penguin,Site/area management,Eudyptes chrysocome
Sharks and Rays,Cownose Ray,Awareness & communications,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Linked enterprises & livelihood alternatives,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Harvest management,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,National level,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,International level,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Sub-national level,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Compliance and enforcement,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Habitat & natural process restoration,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Legislation,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Species management,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Site/area management,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Formal education,Rhinoptera bonasus
Sharks and Rays,Cownose Ray,Resource & habitat protection,Rhinoptera bonasus
Sharks and Rays,Frilled Shark,Species management,Chlamydoselachus anguineus
Sharks and Rays,Frilled Shark,Harvest management,Chlamydoselachus anguineus
Sharks and Rays,Great Hammerhead Shark,Training,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Harvest management,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Trade management,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Species recovery,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Species management,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Site/area management,Sphyrna mokarran
Sharks and Rays,Great Hammerhead Shark,Formal education,Sphyrna mokarran
Sharks and Rays,Great White Shark,Awareness & communications,Carcharodon carcharias
Sharks and Rays,Longfin Mako Shark,Site/area protection,Isurus paucus
Sharks and Rays,Longfin Mako Shark,Harvest management,Isurus paucus
Sharks and Rays,Longfin Mako Shark,Species recovery,Isurus paucus
Sharks and Rays,Longfin Mako Shark,Trade management,Isurus paucus
Sharks and Rays,Longfin Mako Shark,Species management,Isurus paucus
Sharks and Rays,Longnose Sawshark,Species management,Pristiophorus cirratus
Sharks and Rays,Longnose Sawshark,Harvest management,Pristiophorus cirratus
Sharks and Rays,Marbled Electric Ray,Site/area protection,Torpedo marmorata
Sharks and Rays,Marbled Electric Ray,Harvest management,Torpedo marmorata
Sharks and Rays,Marbled Electric Ray,National level,Torpedo marmorata
Sharks and Rays,Marbled Electric Ray,International level,Torpedo marmorata
Sharks and Rays,Marbled Electric Ray,Legislation,Torpedo marmorata
Sharks and Rays,Marbled Electric Ray,Species management,Torpedo marmorata
Sharks and Rays,Megamouth Shark,Species management,Megachasma pelagios
Sharks and Rays,Megamouth Shark,Harvest management,Megachasma pelagios
Sharks and Rays,Oceanic Whitetip Shark,Training,Carcharhinus longimanus
Sharks and Rays,Oceanic Whitetip Shark,Site/area protection,Carcharhinus longimanus
Sharks and Rays,Oceanic Whitetip Shark,National level,Carcharhinus longimanus
Sharks and Rays,Oceanic Whitetip Shark,International level,Carcharhinus longimanus
Sharks and Rays,Oceanic Whitetip Shark,Compliance and enforcement,Carcharhinus longimanus
Sharks and Rays,Oceanic Whitetip Shark,Legislation,Carcharhinus longimanus
Sharks and Rays,Pacific Angel Shark,Species management,Squatina californica
Sharks and Rays,Pacific Angel Shark,Species recovery,Squatina californica
Sharks and Rays,Pacific Angel Shark,Harvest management,Squatina californica
Sharks and Rays,Pelagic Thresher Shark,Site/area protection,Alopias pelagicus
Sharks and Rays,Pelagic Thresher Shark,National level,Alopias pelagicus
Sharks and Rays,Pelagic Thresher Shark,International level,Alopias pelagicus
Sharks and Rays,Pelagic Thresher Shark,Compliance and enforcement,Alopias pelagicus
Sharks and Rays,Pelagic Thresher Shark,Legislation,Alopias pelagicus
Sharks and Rays,Pelagic Thresher Shark,Site/area management,Alopias pelagicus
Sharks and Rays,Porbeagle Shark,Species management,Lamna nasus
Sharks and Rays,Porbeagle Shark,Trade management,Lamna nasus
Sharks and Rays,Porbeagle Shark,Harvest management,Lamna nasus
Sharks and Rays,Porcupine Ray,Species management,Urogymnus asperrimus
Sharks and Rays,Porcupine Ray,Site/area protection,Urogymnus asperrimus
Sharks and Rays,Porcupine Ray,Harvest management,Urogymnus asperrimus
Sharks and Rays,Porcupine Ray,Resource & habitat protection,Urogymnus asperrimus
Sharks and Rays,Shortfin Mako Shark,Site/area protection,Isurus oxyrinchus
Sharks and Rays,Shortfin Mako Shark,Harvest management,Isurus oxyrinchus
Sharks and Rays,Shortfin Mako Shark,Species recovery,Isurus oxyrinchus
Sharks and Rays,Shortfin Mako Shark,Trade management,Isurus oxyrinchus
Sharks and Rays,Shortfin Mako Shark,Species management,Isurus oxyrinchus
Sharks and Rays,Shovelnose Guitarfish,Awareness & communications,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Harvest management,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,National level,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Trade management,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Compliance and enforcement,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Legislation,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Species management,Pseudobatos productus
Sharks and Rays,Shovelnose Guitarfish,Site/area management,Pseudobatos productus
Sharks and Rays,Spiny Dogfish,Awareness & communications,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Site/area protection,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Harvest management,Squalus acanthias
Sharks and Rays,Spiny Dogfish,National level,Squalus acanthias
Sharks and Rays,Spiny Dogfish,International level,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Trade management,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Sub-national level,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Compliance and enforcement,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Legislation,Squalus acanthias
Sharks and Rays,Spiny Dogfish,Species management,Squalus acanthias
Sharks and Rays,Tiger Shark,Site/area protection,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Harvest management,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,National level,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Trade management,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Species recovery,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Compliance and enforcement,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Policies and regulations,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Species management,Galeocerdo cuvier
Sharks and Rays,Tiger Shark,Site/area management,Galeocerdo cuvier
Sharks and Rays,Zebra Shark,Species management,Stegostoma fasciatum
Sharks and Rays,Zebra Shark,Site/area protection,Stegostoma fasciatum
Sharks and Rays,Zebra Shark,Harvest management,Stegostoma fasciatum
Coral,Ivory Bush Coral,Captive breeding/artificial propagation,Oculina varicosa
Coral,Ivory Bush Coral,Site/area protection,Oculina varicosa
Coral,Ivory Bush Coral,Species recovery,Oculina varicosa
Coral,Ivory Bush Coral,Ex-situ conservation,Oculina varicosa
Coral,Ivory Bush Coral,Habitat & natural process restoration,Oculina varicosa
Coral,Ivory Bush Coral,Site/area management,Oculina varicosa
Coral,Ivory Bush Coral,Genome resource bank,Oculina varicosa
Coral,Lobe Coral,Captive breeding/artificial propagation,Porites lobata
Coral,Lobe Coral,Site/area protection,Porites lobata
Coral,Lobe Coral,Species recovery,Porites lobata
Coral,Lobe Coral,Ex-situ conservation,Porites lobata
Coral,Lobe Coral,Habitat & natural process restoration,Porites lobata
Coral,Lobe Coral,Site/area management,Porites lobata
Coral,Lobe Coral,Genome resource bank,Porites lobata
Silvery Fish,Atlantic Bluefin Tuna,National level,Thunnus thynnus
Silvery Fish,Atlantic Bluefin Tuna,Compliance and enforcement,Thunnus thynnus
Silvery Fish,Atlantic Bluefin Tuna,Species recovery,Thunnus thynnus
Silvery Fish,Atlantic Bluefin Tuna,Policies and regulations,Thunnus thynnus
Ocean Fishes,Beluga Sturgeon,Awareness & communications,Huso huso
Ocean Fishes,Beluga Sturgeon,Captive breeding/artificial propagation,Huso huso
Ocean Fishes,Beluga Sturgeon,Site/area protection,Huso huso
Ocean Fishes,Beluga Sturgeon,Harvest management,Huso huso
Ocean Fishes,Beluga Sturgeon,National level,Huso huso
Ocean Fishes,Beluga Sturgeon,International level,Huso huso
Ocean Fishes,Beluga Sturgeon,Trade management,Huso huso
Ocean Fishes,Beluga Sturgeon,Ex-situ conservation,Huso huso
Ocean Fishes,Beluga Sturgeon,Habitat & natural process restoration,Huso huso
Ocean Fishes,Beluga Sturgeon,Policies and regulations,Huso huso
Ocean Fishes,Beluga Sturgeon,Legislation,Huso huso
Ocean Fishes,Beluga Sturgeon,Species management,Huso huso
Ocean Fishes,Beluga Sturgeon,Site/area management,Huso huso
Ocean Fishes,Beluga Sturgeon,Genome resource bank,Huso huso
Seahorses and Pipefish,Leafy Seadragon,Site/area management,Phycodurus eques
Seahorses and Pipefish,Leafy Seadragon,Site/area protection,Phycodurus eques
Silvery Fish,Pacific Sardine,Species management,Sardinops sagax
Silvery Fish,Pacific Sardine,Policies and regulations,Sardinops sagax
Silvery Fish,Pacific Sardine,Harvest management,Sardinops sagax
Sharks and Rays,Smalltooth Sawfish,Awareness & communications,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Training,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Linked enterprises & livelihood alternatives,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Site/area protection,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Harvest management,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,National level,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Sub-national level,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Trade management,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Compliance and enforcement,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,International level,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Habitat & natural process restoration,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Legislation,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Species management,Pristis pectinata
Sharks and Rays,Smalltooth Sawfish,Resource & habitat protection,Pristis pectinata
Sharks and Rays,Spotted Ratfish,Awareness & communications,Hydrolagus colliei
